CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Israel,ISR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Prevalence of underweight,,,,,,,,,,,1.2999999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,Prevalence of underweight,,,,,,,,,,,,,8.1000003815,,,,,,,,,,,6.3000001907,,4,7,8.8999996185,4.5,4,5.5999999046,3.5,3.4000000954,2.2999999523,3.7999999523,4.0999999046,2.5999999046,,3.0999999046,,3.7000000477,1.7999999523,2,,3.2000000477,,2.5,,
Japan,JPN,Prevalence of underweight,,,,,,,,,,,,,,,3.2000000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4000000954,,,,
Jordan,JOR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,4.8000001907,,,,,,,3.7999999523,,,,,3.5999999046,,,,,,,1.8999999762,,,3,,
Kazakhstan,KAZ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6999998093,,,,3.7999999523,,,,,,,4.9000000954,,,,3.7000000477,,,,
Kenya,KEN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1000003815,19.7999992371,,,,17.6000003815,,17.5,,,16.5,,18.3999996185,,,,16.3999996185,,,,,11
Kiribati,KIR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,11.3000001907,,,,,,,,,,,,,,,,,,,,,,,,14.8999996185,,,,,
Korea Dem. People’s Rep.,PRK,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,24.7000007629,,17.7999992371,,20.6000003815,,,,,18.7999992371,,,15.1999998093,,
Korea Rep.,KOR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999762,,,,,,,0.6000000238,,,,
Kosovo,KSV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,5.5999999046,,,,,,,,,,9.1999998093,,1.5,,,,,2.2000000477,2.0999999046,2.2999999523,2.7999999523,2.7000000477,2.7000000477,2.9000000954,2.2999999523,1.7000000477,1.7000000477,2.0999999046,2.2000000477,3.0999999046,3
Kyrgyz Republic,KGZ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1999998093,,,,,,,,,2.7000000477,,,4.6999998093,,,3.7000000477,,2.7999999523
Lao PDR,LAO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7999992371,35.9000015259,,,,,,36.4000015259,,,,,,31.6000003815,,,,,26.5,,,
Latvia,LVA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,4.1999998093,,,,,,,,,,
Lesotho,LSO,Prevalence of underweight,,,,,,,,,,,15.1999998093,,,,,,,,,,,,,,,,13.8000001907,18.8999996185,,,,,,,15,,,,16.6000003815,,,,,13.5,,,,,10.3000001907
Liberia,LBR,Prevalence of underweight,,,,,,,,,,,17.7999992371,,,,,,,,,,,,,,,,,,,,,,,,22.7999992371,,,,,,,20.3999996185,,,,,,15.3000001907,
Libya,LBY,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3000001907,,,,,,,,,,,,5.5999999046,,,,,,,
Liechtenstein,LIE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao SAR China,MAC,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia  FYR,MKD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8999999762,,,,,1.2,1.7999999523,,,,,,1.2999999523,,,
Madagascar,MDG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,29.7000007629,,,,,,,,35.5,40.9000015259,,30.3999996185,,35.5,,,,,,,36.7999992371,,,,,,,,,,
Malawi,MWI,Prevalence of underweight,,,,,,,,,,,,,,,,21.1000003815,,,,,,,,,,,24.3999996185,,,26.5,,,26.2999992371,,21.5,,,,18.3999996185,,15.5,,,12.1000003815,13.8000001907,,,,16.7000007629
Malaysia,MYS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,22.1000003815,23.1000003815,22.6000003815,20.5,19.7000007629,17.7000007629,,,,16.7000007629,,,,,,,12.8999996185,,,,,,,,
Maldives,MDV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,39,,41.5,,,,25.7000007629,,,,,,,,17.7999992371,,,,,
Mali,MLI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,38.2000007629,,,,,30.1000003815,,,,,27.8999996185,,,,,,,,
Malta,MLT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,43.2999992371,,,,,,20.2999992371,,,,30.3999996185,,,,,,,23.2000007629,15.8999996185,,,24.3999996185,19.5,,
Mauritius,MUS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,21.1000003815,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,12.3999996185,13.8999996185,,,,,,,14.8000001907,,6,,,,,,,,3.4000000954,,,,,,2.7999999523,,
Moldova,MDA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2000000477,,,,,,,2.2000000477,,
Monaco,MCO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8000001907,,,,,,,10.8000001907,11.6000003815,,,,4.8000001907,5.3000001907,,,,,4.6999998093,,,1.6000000238,
Montenegro,MNE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2000000477,,,,,,,,1,
Morocco,MAR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,12.6999998093,,,,,8.1000003815,,,,,7.6999998093,,,,,,9.8999996185,,,,,,,,3.0999999046,,,
Mozambique,MOZ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8999996185,,28.1000003815,,,,23,,21.2000007629,,,,,18.2999992371,,,15.6000003815,,,
Myanmar,MMR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,34.0999984741,,,,,,28.7999992371,32.7999992371,,,27.7000007629,38.7000007629,,25,,,30.1000003815,,,29.6000003815,,,,,,22.6000003815,,,,,
Namibia,NAM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,20.2999992371,,,,,,,17.5,,,,,,13.1999998093,
Nauru,NRU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8000001907,,,,,,,
